file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	249.972	27.396	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	246.82	27.324	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	253.924	27.8	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	248.06	26.216	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	240.28	26.168	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	246.792	27.504	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	232.172	25.608	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	241.116	26.1	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	238.48	25.88	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	241.892	26.5	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	228.912	26.04	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	242.812	26.632	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	244.828	26.956	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	236.86	25.572	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	242.66	27.176	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	232.572	25.524	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	243.176	27.024	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	236.204	26.468	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	242.928	27.508	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	234.156	26.736	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
