file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	125.388	17.5872	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	122.411	16.865	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.268	16.9969	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	124.269	16.9783	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	124.926	17.1007	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	126.13	17.2502	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.754	17.086	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	126.063	17.4962	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.322	16.8121	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	125.487	17.2542	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	122.533	16.8554	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	126.048	17.246	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.675	17.0899	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	125.402	17.3766	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	124.653	17.0962	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.464	16.929	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	125.024	16.9268	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	123.966	17.1627	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	122.359	16.9432	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
SPLOT-3CNF-FM-500-50-1.00-SAT-2	malik_fanin	CUDD_REORDER_SIFT	0.1900000000	124.923	16.9901	9.95451e+56	15992	500.0	620.0	2.0	54.8	63.9224530192639	54.8	124750	0.513828	0.0737475	155201	751743
