file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	symmetric_percent	maxnode	total
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_SIFT	0.0100000000	0	0.008	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2089.35	58	81
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_SYMM_SIFT	0.0100000000	0	0.012	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2081.2	58	81
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_WINDOW2	0.0100000000	0	0.004	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2077.63	58	83
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_WINDOW3	0.0100000000	0	0	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2082.21	58	82
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_WINDOW4	0.0100000000	0	0	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2085.65	58	83
../thesis/xml/ecos_kernel.xml	MINCE	CUDD_REORDER_ANNEALING	0.0100000000	0.004	0.504	9.40598e+14	806	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2085.59	58	81
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_SIFT	0.0107605450	0	0.004	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2076.13	58	76
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_SYMM_SIFT	0.0107605450	0	0.008	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2088.03	58	76
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_WINDOW2	0.0107605450	0	0	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2080.33	57	78
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_WINDOW3	0.0107605450	0	0	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2087.16	58	76
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_WINDOW4	0.0107605450	0	0.004	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2081.83	58	76
../thesis/xml/ecos_kernel.xml	mendonca	CUDD_REORDER_ANNEALING	0.0107605450	0	0.512	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2078.76	58	76
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_SIFT		0	0.012	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2080.64	57	79
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_SYMM_SIFT		0	0.008	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2088.35	57	79
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_WINDOW2		0.004	0	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2089.04	58	105
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_WINDOW3		0	0.004	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2083.02	59	95
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_WINDOW4		0	0.008	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2090.04	59	86
../thesis/xml/ecos_kernel.xml	FORCE	CUDD_REORDER_ANNEALING		0	0.56	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2081.95	58	82
../thesis/xml/ecos_kernel.xml	fujita	CUDD_REORDER_SIFT	0.0000000000	0	0.008	9.40598e+14	1612	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2085.59	57	78
../thesis/xml/ecos_kernel.xml	fujita	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.012	9.40598e+14	1612	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	2087.66	57	78
