file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0100000000	0.004	0.008	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	88	88
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0100000000	0	0.008	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	91	91
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0100000000	0	0.008	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	89	89
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0100000000	0	0.004	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	89	89
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0100000000	0	0.008	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	90	90
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0100000000	0	1.012	80658	115	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.90275	91	91
Thread	mendonca	CUDD_REORDER_SIFT	0.0067860690	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.0067860690	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	121	121
Thread	mendonca	CUDD_REORDER_WINDOW2	0.0067860690	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	89	89
Thread	mendonca	CUDD_REORDER_WINDOW3	0.0067860690	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_WINDOW4	0.0067860690	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_ANNEALING	0.0067860690	0	0.724	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	FORCE	CUDD_REORDER_SIFT		0.004	0.008	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	160	160
Thread	FORCE	CUDD_REORDER_SYMM_SIFT		0	0.008	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	133	133
Thread	FORCE	CUDD_REORDER_WINDOW2		0.004	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	125	125
Thread	FORCE	CUDD_REORDER_WINDOW3		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	126	126
Thread	FORCE	CUDD_REORDER_WINDOW4		0.004	0.004	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	124	124
Thread	FORCE	CUDD_REORDER_ANNEALING		0	0.88	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	97	97
Thread	fujita	CUDD_REORDER_SIFT	0.0000000000	0	0.008	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	161	161
Thread	fujita	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.012	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	132	132
Thread	fujita	CUDD_REORDER_WINDOW2	0.0000000000	0	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	124	124
Thread	fujita	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	125	125
Thread	fujita	CUDD_REORDER_WINDOW4	0.0000000000	0.004	0.004	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	123	123
Thread	fujita	CUDD_REORDER_ANNEALING	0.0000000000	0	0.948	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	90	90
Thread	netlist	CUDD_REORDER_SIFT	0.0000000000	0.004	0.008	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	161	161
Thread	netlist	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.012	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	155	155
Thread	netlist	CUDD_REORDER_WINDOW2	0.0000000000	0.004	0.004	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	125	125
Thread	netlist	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0.004	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	126	126
Thread	netlist	CUDD_REORDER_WINDOW4	0.0000000000	0.004	0.004	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	124	124
Thread	netlist	CUDD_REORDER_ANNEALING	0.0000000000	0.004	0.94	80658	162	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.634249	90	90
eCos_isoinfra	MINCE	CUDD_REORDER_SIFT	0.0200000000	0.008	0.048	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	161
