file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0075	0.002	0.006	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	89.5	89.5
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0075	0.001	0.008	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	95.5	95.5
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0075	0.0	0.004	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	92.25	92.25
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0075	0.001	0.003	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	91.0	91.0
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0075	0.001	0.004	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	91.25	91.25
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0075	0.0	0.9369999999999999	80658	115.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8498949999999998	90.0	90.0
Thread	mendonca	CUDD_REORDER_SIFT	0.0062444895	0.0	0.006	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.0062444895	0.0	0.007	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	119.25	119.25
Thread	mendonca	CUDD_REORDER_WINDOW2	0.0062444895	0.0	0.003	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	89.0	89.0
Thread	mendonca	CUDD_REORDER_WINDOW3	0.0062444895	0.0	0.002	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_WINDOW4	0.0062444895	0.001	0.003	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_ANNEALING	0.0062444895	0.0	0.749	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
Thread	FORCE	CUDD_REORDER_SIFT	0.0	0.003	0.007	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	160.0	160.0
Thread	FORCE	CUDD_REORDER_SYMM_SIFT	0.0	0.003	0.01	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	139.75	139.75
Thread	FORCE	CUDD_REORDER_WINDOW2	0.0	0.002	0.0	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	125.0	125.0
Thread	FORCE	CUDD_REORDER_WINDOW3	0.0	0.002	0.002	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	126.0	126.0
Thread	FORCE	CUDD_REORDER_WINDOW4	0.0	0.002	0.003	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	124.0	124.0
Thread	FORCE	CUDD_REORDER_ANNEALING	0.0	0.001	0.914	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	97.0	97.0
Thread	fujita	CUDD_REORDER_SIFT	0.0	0.002	0.006	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	161.0	161.0
Thread	fujita	CUDD_REORDER_SYMM_SIFT	0.0	0.0	0.006	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	132.0	132.0
Thread	fujita	CUDD_REORDER_WINDOW2	0.0	0.002	0.003	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	124.0	124.0
Thread	fujita	CUDD_REORDER_WINDOW3	0.0	0.002	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	125.0	125.0
Thread	fujita	CUDD_REORDER_WINDOW4	0.0	0.001	0.004	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	123.0	123.0
Thread	fujita	CUDD_REORDER_ANNEALING	0.0	0.002	0.998	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.951374	90.0	90.0
Thread	netlist	CUDD_REORDER_SIFT	0.0	0.004	0.008	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	161.0	161.0
Thread	netlist	CUDD_REORDER_SYMM_SIFT	0.0	0.0	0.01	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	143.25	143.25
Thread	netlist	CUDD_REORDER_WINDOW2	0.0	0.003	0.003	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	125.0	125.0
Thread	netlist	CUDD_REORDER_WINDOW3	0.0	0.001	0.002	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	126.0	126.0
Thread	netlist	CUDD_REORDER_WINDOW4	0.0	0.002	0.004	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	124.0	124.0
Thread	netlist	CUDD_REORDER_ANNEALING	0.0	0.001	0.8709999999999999	80658	162.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	0.634249	90.0	90.0
eCos_isoinfra	MINCE	CUDD_REORDER_SIFT	0.0125	0.004	0.051000000000000004	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	157.0	160.25
eCos_isoinfra	MINCE	CUDD_REORDER_SYMM_SIFT	0.0125	0.004	0.038	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	157.0	159.5
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW2	0.0125	0.002	0.036	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	158.0	161.75
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW3	0.0125	0.002	0.036	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	158.0	161.75
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW4	0.0125	0.001	0.034	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	158.0	161.75
eCos_isoinfra	MINCE	CUDD_REORDER_ANNEALING	0.0125	0.003	3.6670000000000003	7.13624e+45	6008.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.22748	157.0	160.25
eCos_isoinfra	mendonca	CUDD_REORDER_SIFT	0.01324390275	0.001	0.05500000000000001	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_SYMM_SIFT	0.01324390275	0.002	0.032	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW2	0.01324390275	0.003	0.022000000000000002	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW3	0.01324390275	0.005	0.036000000000000004	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW4	0.01324390275	0.001	0.03	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_ANNEALING	0.01324390275	0.001	4.0329999999999995	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	0.0	0.003	0.059	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_SYMM_SIFT	0.0	0.003	0.033	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	158.0	159.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW2	0.0	0.004	0.027999999999999997	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW3	0.0	0.003	0.024	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	158.0	159.0
