file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
../thesis/xml/ecos_kernel.xml	netlist	NONE	0.0	0.00031372549019607844	0.0	9.40598e+14	1661.0	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58.0	108.0
../thesis/xml/ecos_isoinfra.xml	netlist	NONE	0.0	0.0016470588235294127	0.0	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157.0	160.0
../thesis/xml/ecos_compat.xml	netlist	NONE	0.0	0.0	0.0	7.88954e+06	181.0	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29.0	34.0
../thesis/xml/linux_fs.xml	netlist	NONE	0.0	0.2014901960784314	0.0	3.27212e+82	58391.0	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	19771.0	26334.0
../thesis/xml/REAL-FM-19.xml	netlist	NONE	0.0	0.0	0.0	240	236.0	30.0	41.0	2.0	61.666666666666664	54.21151989096864	61.666666666666664	41.0	67.0
../thesis/xml/REAL-FM-20.xml	netlist	NONE	0.0	0.0005490196078431372	0.0	80658	162.0	44.0	51.0	1.0	100.0		100.0	133.0	133.0
../thesis/xml/REAL-FM-18.xml	netlist	NONE	0.0	0.00047058823529411766	0.0	5.56816e+07	393.0	44.0	61.0	2.0	64.77272727272728	49.81888685632494	64.77272727272728	91.0	1014.0
../thesis/xml/model_20130422_139902368.xml	netlist	NONE	0.0	0.0	0.0	6144	163.0	40.0	45.0	1.0	100.0		100.0	53.0	53.0
../thesis/xml/linux_mm.xml	netlist	NONE	0.0	0.0010196078431372552	0.0	1.29049e+18	2568.0	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	110.0	140.0
../thesis/xml/model_20130307_609838668.xml	netlist	NONE	0.0	0.004000000000000003	0.0	5.25823e+31	4232.0	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	238.0	255.0
../thesis/xml/ecos_redboot.xml	netlist	NONE	0.0	0.0007058823529411765	0.0	4.86389e+17	1863.0	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	64.0	71.0
../thesis/xml/REAL-FM-3.xml	netlist	NONE	0.0	0.0	0.0	2.1208e+06	238.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74.0	198.0
../thesis/xml/REAL-FM-11.xml	netlist	NONE	0.0	0.001568627450980393	0.0	6400	359.0	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	89.0	193.0
../thesis/xml/REAL-FM-1.xml	netlist	NONE	0.0	0.0025098039215686293	0.0	1.65299e+13	454.0	88.0	113.0	1.0	100.0		100.0	163.0	163.0
../thesis/xml/linux_arch.xml	netlist	NONE	0.0	0.0011764705882352947	0.0	3.4316e+32	6638.0	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	75.0	91.0
../thesis/xml/linux_block.xml	netlist	NONE	0.0	0.00047058823529411766	0.0	1.22647e+15	934.0	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	72.0	120.0
../thesis/xml/ecos_services.xml	netlist	NONE	0.0	0.00023529411764705883	0.0	5.54232e+11	521.0	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	68.0	155.0
../thesis/xml/REAL-FM-4.xml	netlist	NONE	0.0	0.034274509803921584	0.0	4.52041e+49	4656.0	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	11393.0	75571.0
../thesis/xml/linux_lib.xml	netlist	NONE	0.0	0.0014901960784313734	0.0	5.49936e+32	7168.0	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	365.0	528.0
../thesis/xml/ecos_fs.xml	netlist	NONE	0.0	0.0	0.0	49725	81.0	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	28.0	29.0
../thesis/xml/ecos_io.xml	netlist	NONE	0.0	0.0014117647058823537	0.0	1.85602e+32	1590.0	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	205.0	352.0
