file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
../thesis/xml_mendonca/REAL-FM-3.xml	malik_fanin	NONE	0.0000000000	0	0	2.1208e+06	282	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	335
../thesis/xml_mendonca/REAL-FM-3.xml	FORCE	NONE		0	0	2.1208e+06	215	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
../thesis/xml_mendonca/REAL-FM-3.xml	narodyska	NONE	0.0100000000	0	0	2.1208e+06	395	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	121	562
../thesis/xml_mendonca/REAL-FM-3.xml	malik_level	NONE	0.0100000000	0	0	2.1208e+06	423	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	135	457
../thesis/xml_mendonca/REAL-FM-3.xml	fujii	NONE	0.0000000000	0	0	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	241	581
../thesis/xml_mendonca/REAL-FM-3.xml	fujita	NONE	0.0000000000	0	0	2.1208e+06	243	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73	197
../thesis/xml_mendonca/REAL-FM-3.xml	mendonca	NONE	0.0081296770	0	0	2.1208e+06	279	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73	192
../thesis/xml_mendonca/REAL-FM-3.xml	MINCE	NONE	0.0100000000	0.004	0	2.1208e+06	165	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	75	96
../thesis/xml_mendonca/REAL-FM-3.xml	netlist	NONE	0.0000000000	0	0	2.1208e+06	238	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74	198
../thesis/xml_mendonca/REAL-FM-1.xml	malik_fanin	NONE	0.0200000000	0	0	1.65299e+13	504	88.0	113.0	1.0	100.0		100.0	155	155
../thesis/xml_mendonca/REAL-FM-1.xml	FORCE	NONE		0	0	1.65299e+13	404	88.0	113.0	1.0	100.0		100.0	148	148
../thesis/xml_mendonca/REAL-FM-1.xml	narodyska	NONE	0.0400000000	0.004	0	1.65299e+13	1077	88.0	113.0	1.0	100.0		100.0	397	397
../thesis/xml_mendonca/REAL-FM-1.xml	malik_level	NONE	0.0100000000	0	0	1.65299e+13	1131	88.0	113.0	1.0	100.0		100.0	1942	1942
../thesis/xml_mendonca/REAL-FM-1.xml	fujii	NONE	0.0100000000	0	0	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	437	437
../thesis/xml_mendonca/REAL-FM-1.xml	fujita	NONE	0.0000000000	0.004	0	1.65299e+13	447	88.0	113.0	1.0	100.0		100.0	163	163
../thesis/xml_mendonca/REAL-FM-1.xml	mendonca	NONE	0.0045160930	0	0	1.65299e+13	432	88.0	113.0	1.0	100.0		100.0	145	145
../thesis/xml_mendonca/REAL-FM-1.xml	MINCE	NONE	0.0100000000	0.004	0	1.65299e+13	337	88.0	113.0	1.0	100.0		100.0	150	150
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0000000000	0.004	0	1.65299e+13	454	88.0	113.0	1.0	100.0		100.0	163	163
