file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
../thesis/xml/ecos_kernel.xml	malik_fanin	NONE	0.0000000000	0	0	9.40598e+14	1661	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	108
../thesis/xml/ecos_kernel.xml	FORCE	NONE		0	0	9.40598e+14	857	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	113
../thesis/xml/ecos_kernel.xml	narodyska	NONE	0.0100000000	0	0	9.40598e+14	1716	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	107
../thesis/xml/ecos_kernel.xml	malik_level	NONE	0.0100000000	0	0	9.40598e+14	1661	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	107
../thesis/xml/ecos_kernel.xml	fujii	NONE	0.0000000000	0	0	9.40598e+14	1714	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	59	110
../thesis/xml/ecos_kernel.xml	fujita	NONE	0.0000000000	0	0	9.40598e+14	1612	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	102
../thesis/xml/ecos_kernel.xml	mendonca	NONE	0.0155511850	0	0	9.40598e+14	1508	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	83
../thesis/xml/ecos_kernel.xml	MINCE	NONE	0.0100000000	0	0	9.40598e+14	803	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	84
../thesis/xml/ecos_isoinfra.xml	malik_fanin	NONE	0.0100000000	0	0	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	160
../thesis/xml/ecos_isoinfra.xml	FORCE	NONE		0.004	0	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	160
../thesis/xml/ecos_isoinfra.xml	narodyska	NONE	0.0500000000	0	0	7.13624e+45	11940	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	160
../thesis/xml/ecos_isoinfra.xml	malik_level	NONE	0.0200000000	0.004	0	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	159
../thesis/xml/ecos_isoinfra.xml	fujii	NONE	0.0000000000	0.004	0	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	158	161
../thesis/xml/ecos_isoinfra.xml	fujita	NONE	0.0100000000	0.004	0	7.13624e+45	11938	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	157
../thesis/xml/ecos_isoinfra.xml	mendonca	NONE	0.0091393040	0	0	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	159
../thesis/xml/ecos_isoinfra.xml	MINCE	NONE	0.0100000000	0.004	0	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	158	163
../thesis/xml/ecos_compat.xml	malik_fanin	NONE	0.0000000000	0	0	7.88954e+06	177	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29	35
