file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0100000000	0	0.012	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	89	89
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0100000000	0.004	0.008	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	110	110
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0100000000	0	0.004	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	93	93
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0100000000	0	0	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	93	93
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0100000000	0	0.008	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	92	92
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0100000000	0	0.712	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	89	89
Thread	mendonca	CUDD_REORDER_SIFT	0.0038636440	0	0.008	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.0038636440	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	138	138
Thread	mendonca	CUDD_REORDER_WINDOW2	0.0038636440	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	89	89
Thread	mendonca	CUDD_REORDER_WINDOW3	0.0038636440	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_WINDOW4	0.0038636440	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_ANNEALING	0.0038636440	0	0.688	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	FORCE	CUDD_REORDER_SIFT		0	0.004	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	160	160
Thread	FORCE	CUDD_REORDER_SYMM_SIFT		0.004	0.008	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	133	133
Thread	FORCE	CUDD_REORDER_WINDOW2		0.004	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	125	125
Thread	FORCE	CUDD_REORDER_WINDOW3		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	126	126
Thread	FORCE	CUDD_REORDER_WINDOW4		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	124	124
Thread	FORCE	CUDD_REORDER_ANNEALING		0.004	0.828	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	97	97
Thread	fujita	CUDD_REORDER_SIFT	0.0000000000	0.004	0.008	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	161	161
Thread	fujita	CUDD_REORDER_SYMM_SIFT	0.0000000000	0.004	0.008	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	113	113
Thread	fujita	CUDD_REORDER_WINDOW2	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	124	124
Thread	fujita	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	125	125
Thread	fujita	CUDD_REORDER_WINDOW4	0.0000000000	0	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	123	123
Thread	fujita	CUDD_REORDER_ANNEALING	0.0000000000	0	0.88	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	90	90
Thread	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.004	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	126	126
Thread	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.008	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	137	137
Thread	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	193	193
Thread	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	180	180
Thread	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	172	172
Thread	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	0.788	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	89	89
eCos_isoinfra	MINCE	CUDD_REORDER_SIFT	0.0200000000	0.096	0.064	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.879765	158	160
eCos_isoinfra	MINCE	CUDD_REORDER_SYMM_SIFT	0.0200000000	0.084	0.048	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.879765	158	159
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW2	0.0200000000	0.008	0.028	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.22329	158	161
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW3	0.0200000000	0.004	0.028	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.65061	158	161
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW4	0.0200000000	0.012	0.028	7.13624e+45	6008	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.60034	158	161
