file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0100000000	0	0.004	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0100000000	0	0.004	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0100000000	0	0	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0100000000	0	0.004	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0100000000	0	0.004	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0100000000	0	0	80658	116	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.69133	96	96
Thread	mendonca	CUDD_REORDER_SIFT	0.0042488510	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.0042488510	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_WINDOW2	0.0042488510	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_WINDOW3	0.0042488510	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_WINDOW4	0.0042488510	0	0	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	mendonca	CUDD_REORDER_ANNEALING	0.0042488510	0	0.004	80658	122	44.0	51.0	1.0	100.0		100.0	946	3.27696	1.47992	88	88
Thread	FORCE	CUDD_REORDER_SIFT		0	0.004	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	FORCE	CUDD_REORDER_SYMM_SIFT		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	FORCE	CUDD_REORDER_WINDOW2		0.004	0.004	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	FORCE	CUDD_REORDER_WINDOW3		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	FORCE	CUDD_REORDER_WINDOW4		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	FORCE	CUDD_REORDER_ANNEALING		0	0	80658	149	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	131	131
Thread	fujita	CUDD_REORDER_SIFT	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujita	CUDD_REORDER_SYMM_SIFT	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujita	CUDD_REORDER_WINDOW2	0.0000000000	0	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujita	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujita	CUDD_REORDER_WINDOW4	0.0000000000	0	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujita	CUDD_REORDER_ANNEALING	0.0000000000	0.004	0	80658	172	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.951374	128	128
Thread	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
Thread	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
Thread	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
Thread	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0.004	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
Thread	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
Thread	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	215	215
eCos_isoinfra	MINCE	CUDD_REORDER_SIFT	0.0200000000	0.068	0.04	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.871387	157	161
eCos_isoinfra	MINCE	CUDD_REORDER_SYMM_SIFT	0.0200000000	0.064	0.044	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.871387	157	161
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW2	0.0200000000	0.008	0.028	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	158	163
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW3	0.0200000000	0.008	0.032	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.60871	158	163
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW4	0.0200000000	0.016	0.028	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.50817	158	163
eCos_isoinfra	MINCE	CUDD_REORDER_ANNEALING	0.0200000000	44.32	0.052	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.770842	158	161
eCos_isoinfra	mendonca	CUDD_REORDER_SIFT	0.0090607070	0.036	0.04	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.712191	157	158
eCos_isoinfra	mendonca	CUDD_REORDER_SYMM_SIFT	0.0090607070	0.04	0.048	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.712191	157	158
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW2	0.0090607070	0.008	0.024	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW3	0.0090607070	0.012	0.024	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	2.19522	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW4	0.0090607070	0.024	0.024	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	2.13657	157	160
eCos_isoinfra	mendonca	CUDD_REORDER_ANNEALING	0.0090607070	66.628	0.064	7.13624e+45	11784	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.812736	158	161
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.036	0.044	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.754085	156	156
eCos_isoinfra	FORCE	CUDD_REORDER_SYMM_SIFT		0.044	0.04	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.754085	156	156
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW2		0.012	0.024	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.24843	157	160
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW3		0.012	0.02	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	2.17009	157	160
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW4		0.028	0.028	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	2.11144	157	160
eCos_isoinfra	FORCE	CUDD_REORDER_ANNEALING		74.38	0.048	7.13624e+45	6009	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	0.611646	156	159
eCos_isoinfra	fujita	CUDD_REORDER_SIFT	0.0100000000	0	0.02	7.13624e+45	11938	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.25681	156	157
eCos_isoinfra	fujita	CUDD_REORDER_SYMM_SIFT	0.0100000000	0.004	0.024	7.13624e+45	11938	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.25681	156	157
