file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.004	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	126	126
Thread	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0.004	0.012	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	94	94
Thread	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	193	193
Thread	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0.004	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	180	180
Thread	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0.008	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	172	172
Thread	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	0.956	80658	190	44.0	51.0	1.0	100.0		100.0	946	3.27696	0.739958	89	89
eCos_isoinfra	fujii	CUDD_REORDER_SIFT	0.0100000000	0	0.044	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
eCos_isoinfra	fujii	CUDD_REORDER_SYMM_SIFT	0.0100000000	0	0.024	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW2	0.0100000000	0	0.028	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW3	0.0100000000	0	0.02	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW4	0.0100000000	0	0.032	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
eCos_isoinfra	fujii	CUDD_REORDER_ANNEALING	0.0100000000	0	3.968	7.13624e+45	11787	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935	93.6406	1.23167	157	160
BankingSoftware	fujii	CUDD_REORDER_SIFT	0.0100000000	0.004	0.08	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	226	227
BankingSoftware	fujii	CUDD_REORDER_SYMM_SIFT	0.0100000000	0.004	0.104	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	214	215
BankingSoftware	fujii	CUDD_REORDER_WINDOW2	0.0100000000	0.004	0.06	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	527	559
BankingSoftware	fujii	CUDD_REORDER_WINDOW3	0.0100000000	0.004	0.056	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	300	318
BankingSoftware	fujii	CUDD_REORDER_WINDOW4	0.0100000000	0.008	0.088	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	322	337
BankingSoftware	fujii	CUDD_REORDER_ANNEALING	0.0100000000	0	12.04	5.25823e+31	9308	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400	10.8831	0.642857	234	236
LinuxKernel_block	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.008	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	47	80
