file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0033333333333333335	0.0026666666666666666	0.0013333333333333333	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0033333333333333335	0.0013333333333333333	0.0026666666666666666	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0033333333333333335	0.0013333333333333333	0.0	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0033333333333333335	0.0	0.0026666666666666666	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0033333333333333335	0.0	0.0026666666666666666	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0033333333333333335	0.0	0.0	80658	115.33333333333333	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.8322766666666668	91.33333333333333	91.33333333333333
Thread	mendonca	CUDD_REORDER_SIFT	0.008201936	0.0	0.004	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.008201936	0.0	0.004	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_WINDOW2	0.008201936	0.0013333333333333333	0.0026666666666666666	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_WINDOW3	0.008201936	0.0	0.0013333333333333333	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_WINDOW4	0.008201936	0.0	0.0013333333333333333	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_ANNEALING	0.008201936	0.0	0.0026666666666666666	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	1.47992	88.0	88.0
Thread	FORCE	CUDD_REORDER_SIFT	0.0	0.0013333333333333333	0.0013333333333333333	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	FORCE	CUDD_REORDER_SYMM_SIFT	0.0	0.0	0.0013333333333333333	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	FORCE	CUDD_REORDER_WINDOW2	0.0	0.0013333333333333333	0.0026666666666666666	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	FORCE	CUDD_REORDER_WINDOW3	0.0	0.0013333333333333333	0.0	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	FORCE	CUDD_REORDER_WINDOW4	0.0	0.0013333333333333333	0.0	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	FORCE	CUDD_REORDER_ANNEALING	0.0	0.0013333333333333333	0.0	80658	149.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	131.0	131.0
Thread	fujita	CUDD_REORDER_SIFT	0.006666666666666667	0.004	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujita	CUDD_REORDER_SYMM_SIFT	0.006666666666666667	0.0013333333333333333	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujita	CUDD_REORDER_WINDOW2	0.006666666666666667	0.0	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujita	CUDD_REORDER_WINDOW3	0.006666666666666667	0.0013333333333333333	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujita	CUDD_REORDER_WINDOW4	0.006666666666666667	0.0	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujita	CUDD_REORDER_ANNEALING	0.006666666666666667	0.0026666666666666666	0.0	80658	172.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.951374	128.0	128.0
Thread	fujii	CUDD_REORDER_SIFT	0.0	0.0	0.0	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
Thread	fujii	CUDD_REORDER_SYMM_SIFT	0.0	0.0013333333333333333	0.0013333333333333333	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
Thread	fujii	CUDD_REORDER_WINDOW2	0.0	0.0	0.0013333333333333333	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
Thread	fujii	CUDD_REORDER_WINDOW3	0.0	0.0	0.0026666666666666666	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
Thread	fujii	CUDD_REORDER_WINDOW4	0.0	0.0	0.0013333333333333333	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
Thread	fujii	CUDD_REORDER_ANNEALING	0.0	0.0013333333333333333	0.0026666666666666666	80658	190.0	44.0	51.0	1.0	100.0		100.0	946.0	3.2769600000000003	0.739958	215.0	215.0
eCos_isoinfra	MINCE	CUDD_REORDER_SIFT	0.02	0.10933333333333334	0.05066666666666667	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.8741796666666667	156.66666666666666	160.0
eCos_isoinfra	MINCE	CUDD_REORDER_SYMM_SIFT	0.02	0.08933333333333333	0.044000000000000004	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.8741796666666667	156.66666666666666	160.0
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW2	0.02	0.008	0.032	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.2260833333333332	158.0	162.33333333333334
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW3	0.02	0.012000000000000002	0.028	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.6115033333333333	158.0	162.33333333333334
eCos_isoinfra	MINCE	CUDD_REORDER_WINDOW4	0.02	0.014666666666666666	0.028	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.60313	158.0	162.33333333333334
eCos_isoinfra	MINCE	CUDD_REORDER_ANNEALING	0.02	40.089333333333336	0.058666666666666666	7.13624e+45	6008.333333333333	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.8155286666666667	158.0	161.0
eCos_isoinfra	mendonca	CUDD_REORDER_SIFT	0.012756604	0.036	0.044000000000000004	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.7121910000000001	157.0	158.0
eCos_isoinfra	mendonca	CUDD_REORDER_SYMM_SIFT	0.012756604	0.03866666666666667	0.050666666666666665	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.7121910000000001	157.0	158.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW2	0.012756604	0.009333333333333334	0.024000000000000004	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW3	0.012756604	0.017333333333333336	0.02266666666666667	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	2.19522	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_WINDOW4	0.012756604	0.029333333333333333	0.036	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	2.13657	157.0	160.0
eCos_isoinfra	mendonca	CUDD_REORDER_ANNEALING	0.012756604	66.08933333333333	0.05333333333333332	7.13624e+45	11784.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.8741796666666667	158.0	161.0
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	0.0	0.03866666666666666	0.04666666666666666	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.754085	156.0	156.0
eCos_isoinfra	FORCE	CUDD_REORDER_SYMM_SIFT	0.0	0.042666666666666665	0.04933333333333334	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.754085	156.0	156.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW2	0.0	0.010666666666666666	0.028	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.24843	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW3	0.0	0.014666666666666666	0.021333333333333333	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	2.17009	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_WINDOW4	0.0	0.028	0.025333333333333336	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	2.11144	157.0	160.0
eCos_isoinfra	FORCE	CUDD_REORDER_ANNEALING	0.0	75.93599999999999	0.04666666666666667	7.13624e+45	6009.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	0.611646	156.0	159.0
eCos_isoinfra	fujita	CUDD_REORDER_SIFT	0.01	0.0013333333333333333	0.02	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_SYMM_SIFT	0.01	0.0026666666666666666	0.02666666666666667	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW2	0.01	0.0	0.027999999999999997	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW3	0.01	0.0	0.027999999999999997	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_WINDOW4	0.01	0.0013333333333333333	0.027999999999999997	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujita	CUDD_REORDER_ANNEALING	0.01	0.0	0.02666666666666667	7.13624e+45	11938.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.25681	156.0	157.0
eCos_isoinfra	fujii	CUDD_REORDER_SIFT	0.0	0.0	0.027999999999999997	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
eCos_isoinfra	fujii	CUDD_REORDER_SYMM_SIFT	0.0	0.0013333333333333333	0.02666666666666667	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW2	0.0	0.0013333333333333333	0.03333333333333333	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW3	0.0	0.0013333333333333333	0.032	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
eCos_isoinfra	fujii	CUDD_REORDER_WINDOW4	0.0	0.0013333333333333333	0.032	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
eCos_isoinfra	fujii	CUDD_REORDER_ANNEALING	0.0	0.0026666666666666666	0.027999999999999997	7.13624e+45	11787.0	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	11935.0	93.6406	1.23167	158.0	161.0
BankingSoftware	MINCE	CUDD_REORDER_SIFT	0.03333333333333333	0.0026666666666666666	0.02666666666666667	5.25823e+31	1699.6666666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.8571430000000001	213.0	219.0
BankingSoftware	MINCE	CUDD_REORDER_SYMM_SIFT	0.03333333333333333	0.006666666666666667	0.032	5.25823e+31	1699.6666666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	15400.0	10.8831	0.8571430000000001	213.0	219.0
