file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
Thread	MINCE	CUDD_REORDER_SIFT	0.0036363636363636364	0.0014545454545454547	0.006545454545454546	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	88.54545454545455	88.54545454545455
Thread	MINCE	CUDD_REORDER_SYMM_SIFT	0.0036363636363636364	0.002181818181818182	0.009818181818181818	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	97.0	97.0
Thread	MINCE	CUDD_REORDER_WINDOW2	0.0036363636363636364	0.0014545454545454547	0.0029090909090909093	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	90.45454545454545	90.45454545454545
Thread	MINCE	CUDD_REORDER_WINDOW3	0.0036363636363636364	0.002181818181818182	0.0025454545454545456	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	90.45454545454545	90.45454545454545
Thread	MINCE	CUDD_REORDER_WINDOW4	0.0036363636363636364	0.0018181818181818182	0.005454545454545456	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	90.9090909090909	90.9090909090909
Thread	MINCE	CUDD_REORDER_ANNEALING	0.0036363636363636364	0.001090909090909091	1.02	80658	114.9090909090909	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.8066509090909089	90.18181818181819	90.18181818181819
Thread	mendonca	CUDD_REORDER_SIFT	0.009670807272727273	0.0	0.004000000000000001	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
Thread	mendonca	CUDD_REORDER_SYMM_SIFT	0.009670807272727273	0.0	0.008	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	124.0909090909091	124.0909090909091
Thread	mendonca	CUDD_REORDER_WINDOW2	0.009670807272727273	0.0	0.0025454545454545456	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	89.0	89.0
Thread	mendonca	CUDD_REORDER_WINDOW3	0.009670807272727273	0.00036363636363636367	0.0025454545454545456	80658	122.0	44.0	51.0	1.0	100.0		100.0	946.0	3.27696	1.47992	88.0	88.0
