file	order	reorder	ecr	core	dead	size_f0	size_f1	f0_time	f1_time	dead_core	total
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002895	6.68827	0.618257	7.39649
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.3e-05	1.9e-05	0.001077	0.001242
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6e-05	1e-05	0.000929	0.001084
eCos_infra	FORCE		18.51851851851852	1	1	28	7	8.4e-05	2.2e-05	0.001162	0.001332
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000939	0.000128	0.016091	0.017277
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001586	1.4e-05	0.004907	0.006975
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000237	6.7e-05	0.003886	0.004166
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000348	8.3e-05	0.010485	0.010839
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000334	0.00027	0.011372	0.011817
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000312	2.1e-05	0.002522	0.00282
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.00018	5.4e-05	0.00477	0.005064
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000889	0.0001	0.003205	0.004422
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.00016	6.9e-05	0.003121	0.003442
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004216	0.07225	0.534826	0.612563
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005723	5.10958	17.4013	22.61
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000736	9.3e-05	0.006143	0.006999
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000304	7e-05	0.002598	0.003021
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000437	0.000579	0.028932	0.02968
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001782	1.9e-05	0.008656	0.010632
HIS	FORCE		10.95890410958904	37	0	103	23	0.000502	2.5e-05	0.004619	0.005249
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000229	4.1e-05	0.017736	0.018047
Graph	FORCE		21.21212121212121	11	0	41	16	0.000134	3.1e-05	0.001917	0.002155
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000228	2.6e-05	0.007187	0.00753
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.012079	0.000244	1.21449	1.22701
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002862	6.81044	0.619766	7.52059
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.9e-05	1.8e-05	0.001096	0.001192
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	1e-05	0.000954	0.001163
eCos_infra	FORCE		18.51851851851852	1	1	28	7	8.4e-05	2.1e-05	0.001149	0.001265
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.00086	0.00011	0.015115	0.015858
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.00171	1.4e-05	0.004941	0.007177
