file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.01209	2.80546	0.004069	0.019736	2.83844
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.5e-05	1.9e-05	6.2e-05	3.4e-05	0.000246
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6.1e-05	1e-05	5.7e-05	2.5e-05	0.000143
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	7.1e-05	1.7e-05	6.1e-05	3.1e-05	0.000156
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000845	0.000105	0.000364	0.000115	0.001041
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.028952	1.4e-05	0.000285	2.7e-05	0.029776
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000198	6.1e-05	0.000103	0.000108	0.000415
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000339	8.5e-05	0.000286	0.000109	0.000662
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000331	0.00027	0.000204	0.000246	0.000561
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000259	1.9e-05	0.00011	3.3e-05	0.000402
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.00018	5.4e-05	0.000152	7.3e-05	0.000353
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000875	0.000101	4.6e-05	0.000129	0.001166
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000158	6.8e-05	8.9e-05	8e-05	0.000256
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004487	0.480548	3.9e-05	0.004563	0.488032
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.826092	0.164786	0.00057	0.003356	0.825872
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054394	9.3e-05	0.000231	0.000115	0.05379
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000325	6.7e-05	3.6e-05	0.000109	0.000407
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000316	0.000505	0.000152	0.000569	0.001194
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001605	1.8e-05	0.000307	2.9e-05	0.001938
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000442	1.9e-05	0.000144	5.3e-05	0.000602
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000204	3.4e-05	0.00011	0.000135	0.000402
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000117	2.5e-05	7.1e-05	4.5e-05	0.000182
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.0002	2.3e-05	0.000164	5.3e-05	0.000403
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.135283	0.000181	0.001226	0.001105	0.138113
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012172	2.80549	0.004063	0.019738	2.83836
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.6e-05	1.9e-05	6.1e-05	3.2e-05	0.000149
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6e-05	9e-06	5.8e-05	2.7e-05	9.1e-05
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	6.8e-05	1.9e-05	6.2e-05	3.3e-05	0.000132
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000844	0.000101	0.000362	0.000116	0.001266
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.029003	1.5e-05	0.000293	3e-05	0.031101
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000229	7e-05	0.000107	0.000108	0.000355
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000337	8.6e-05	0.000284	0.00011	0.000509
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000349	0.000269	0.000204	0.000249	0.000563
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000315	2.1e-05	0.000111	3.4e-05	0.00049
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000175	5.5e-05	0.000151	7.3e-05	0.000212
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000937	9.8e-05	4.7e-05	0.000128	0.001207
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000168	6.9e-05	9e-05	7.9e-05	0.000228
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004294	0.485217	3.8e-05	0.004518	0.494188
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.851876	0.165085	0.000559	0.003358	0.854856
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054032	9.4e-05	0.000227	0.000116	0.053864
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000313	6.5e-05	3.6e-05	0.000109	0.000256
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000336	0.000487	0.000152	0.000573	0.00112
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001638	1.9e-05	0.000308	3e-05	0.002
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000435	1.9e-05	0.000143	5.1e-05	0.000606
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000206	3.2e-05	0.000108	0.000135	0.000323
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000118	2.5e-05	7.2e-05	4.6e-05	0.000186
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000204	2.3e-05	0.000163	5.2e-05	0.00049
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.135577	0.000181	0.00127	0.0011	0.138854
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012124	2.79501	0.004076	0.019591	2.82773
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.5e-05	1.9e-05	6.4e-05	3.1e-05	6.2e-05
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6e-05	1e-05	5.9e-05	2.7e-05	0.000131
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	6.8e-05	1.8e-05	6.2e-05	3.2e-05	0.00019
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000816	0.000103	0.000364	0.000114	0.001193
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.029015	1.5e-05	0.000286	2.8e-05	0.029408
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000198	5.8e-05	0.000103	0.000107	0.000176
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000335	8.4e-05	0.00028	0.000109	0.000628
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000343	0.000284	0.000204	0.000245	0.000574
