file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.003066	6.68236	0.003615	0.054365	6.80839
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.6e-05	2e-05	6.2e-05	3.4e-05	0.000138
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	9e-06	6e-05	2.6e-05	6.5e-05
eCos_infra	FORCE		18.51851851851852	1	1	28	7	6.8e-05	1.9e-05	6.2e-05	3.3e-05	0.000212
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000863	0.000122	0.000364	0.00012	0.001369
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001646	1.6e-05	0.000235	3e-05	0.002224
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000198	6e-05	0.000104	0.000107	0.000362
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000345	8.6e-05	0.000284	0.000108	0.000722
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000343	0.000285	0.000206	0.000248	0.000517
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000278	2e-05	0.000111	3.5e-05	0.000419
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000189	5.4e-05	0.000151	7.4e-05	0.000311
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000877	0.0001	4.6e-05	0.000129	0.001222
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000157	6.6e-05	9.1e-05	8.8e-05	0.000235
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004595	0.077194	3.7e-05	0.02028	0.103655
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005755	4.9111	0.000549	0.577278	5.59017
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000736	9.6e-05	0.000171	0.00012	0.001039
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000327	6.8e-05	3.7e-05	0.000109	0.00047
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000317	0.000491	0.000153	0.000579	0.001388
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001702	1.9e-05	0.000312	2.9e-05	0.002218
HIS	FORCE		10.95890410958904	37	0	103	23	0.000448	1.9e-05	0.000145	5.2e-05	0.000617
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000207	3.2e-05	0.000109	0.000135	0.000325
Graph	FORCE		21.21212121212121	11	0	41	16	0.000125	2.4e-05	7.2e-05	4.5e-05	0.000167
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000203	2.5e-05	0.000165	5.3e-05	0.000385
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011814	0.000177	0.002679	0.00109	0.01482
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.003029	6.47758	0.003566	0.054339	6.59341
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.5e-05	1.9e-05	6.3e-05	3.2e-05	0.000274
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6.1e-05	9e-06	5.7e-05	2.6e-05	0.000128
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	1.8e-05	6.2e-05	3.1e-05	0.000168
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000811	0.000101	0.000398	0.000118	0.001248
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001706	1.6e-05	0.000237	2.7e-05	0.002459
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000204	5.9e-05	0.000103	0.000109	0.000351
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000333	8.4e-05	0.000285	0.000109	0.000652
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000337	0.000268	0.000207	0.000248	0.000608
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000273	2e-05	0.000111	3.3e-05	0.000389
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000178	5.4e-05	0.000152	7.3e-05	0.000295
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000934	0.000104	4.6e-05	0.00013	0.001122
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000155	6.6e-05	9e-05	8.1e-05	0.000273
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004317	0.083381	4.1e-05	0.020311	0.111668
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005708	4.92742	0.000551	0.573652	5.61651
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000771	9.4e-05	0.000169	0.000116	0.001049
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000308	6.6e-05	3.7e-05	0.000107	0.000402
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.00032	0.000518	0.000154	0.000578	0.001108
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001624	1.9e-05	0.000311	3e-05	0.001805
HIS	FORCE		10.95890410958904	37	0	103	23	0.000439	2e-05	0.000146	5.3e-05	0.000566
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000203	3.2e-05	0.000108	0.000135	9.5e-05
Graph	FORCE		21.21212121212121	11	0	41	16	0.000124	2.4e-05	7e-05	4.3e-05	0.000299
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000203	2.2e-05	0.000165	5.4e-05	0.000287
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.012087	0.00018	0.002656	0.001099	0.014943
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002953	6.58709	0.003571	0.054546	6.71803
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.6e-05	1.9e-05	6.5e-05	3.3e-05	0.0001
