file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
Dell_XML	FORCE	CUDD_REORDER_SIFT		2.4581	0	0.016199	0.016198	0.032397	0.123565	17690	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	16601	8330
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000838	0	0.000109	0.000109	0.000218	0.000168	36	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29	32
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000677	0	0.000103	0.000103	0.000206	0.000126	28	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	26	27
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.000967	0	0.000122	0.000121	0.000243	0.000157	35	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	28	34
eCos_io	FORCE	CUDD_REORDER_SIFT		0.005522	0	0.000713	0.000713	0.001426	0.002628	334	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	266	311
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.034754	0	0.00056	0.00056	0.00112	0.000763	160	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	156
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.003221	0	0.000343	0.000343	0.000686	0.000698	116	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	113
eCos_language	FORCE	CUDD_REORDER_SIFT		0.004332	0	0.000688	0.000688	0.001376	0.002105	267	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	206	262
eCos_net	FORCE	CUDD_REORDER_SIFT		0.006795	0	0.000916	0.000915	0.001831	0.002967	325	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	172	299
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.003897	0	0.000276	0.000276	0.000552	0.000436	72	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	64	69
eCos_services	FORCE	CUDD_REORDER_SIFT		0.003405	0	0.000457	0.000456	0.000913	0.001214	133	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	97	129
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT		0.007251	0	0.000311	0.000311	0.000622	0.000681	94	3.4316e+32	3429	26.01626016260163	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	78	93
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT		0.003255	0	0.000304	0.000302	0.000606	0.000742	93	1.22647e+15	490	42.62295081967213	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	49	87
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT		0.778772	0	0.00707	0.00707	0.01414	0.019285	2512	5.12222e+66	22733	86.19402985074626	268.0	493.0	2.0	93.09701492537313	9.76229511339637	93.09701492537313	2504	2532
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT		2.4461	0	0.01774	0.01774	0.03548	0.047007	3900	3.27212e+82	29616	59.59302325581395	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	3501	6396
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT		0.092023	0	0.000844	0.000844	0.001688	0.001866	224	5.49936e+32	3826	27.86885245901639	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	127	296
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT		0.004897	0	0.000278	0.000276	0.000554	0.000622	70	1.29049e+18	1362	37.5	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	61	79
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT		0.007895	0	0.002234	0.002233	0.004467	0.005294	517	2.11552e+15	1744	59.210526315789465	73.0	117.0	2.0	80.82191780821918	27.12190393592237	80.82191780821918	420	711
Smart Home v2	FORCE	CUDD_REORDER_SIFT		0.001704	0	0.00019	0.000189	0.000379	0.000617	38	903168	135	0.0	38.0	43.0	1.0	100.0		100.0	38	38
BankingSoftware	FORCE	CUDD_REORDER_SIFT		0.006455	0	0.000551	0.00055	0.001101	0.001118	244	5.25823e+31	1747	2.604166666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	238	242
Assess4me	FORCE	CUDD_REORDER_SIFT		0.001323	0	0.000156	0.000155	0.000311	0.000384	51	6144	118	0.0	40.0	45.0	1.0	100.0		100.0	51	51
SmartTV	FORCE	CUDD_REORDER_SIFT		0.004403	0	0.000381	0.000381	0.000762	0.01077	146	4.67664e+16	587	0.0	96.0	110.0	1.0	100.0		100.0	146	146
Model_Transformation	FORCE	CUDD_REORDER_SIFT		0.00437	0	0.000373	0.000373	0.000746	0.010399	148	1.65299e+13	404	0.0	88.0	113.0	1.0	100.0		100.0	148	148
HIS	FORCE	CUDD_REORDER_SIFT		0.003154	0	0.000349	0.000348	0.000697	0.000795	126	6400	305	10.95890410958904	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	103	155
