file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
Dell_XML	FORCE	CUDD_REORDER_SIFT		6.82014	0.570127	0.006159	0.006158	0.012317	0.061866	10780	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	9775	3186
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000844	0.003842	0.000109	0.000109	0.000218	0.000219	34	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	27	30
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000735	0.003883	9.5e-05	9.4e-05	0.000189	0.000181	27	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	25	26
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.00097	0.003694	0.000122	0.000122	0.000244	0.00024	33	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	27	29
eCos_io	FORCE	CUDD_REORDER_SIFT		0.005918	0.017215	0.000612	0.000612	0.001224	0.001954	250	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	196	249
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.006179	0.014797	0.000356	0.000355	0.000711	0.000591	161	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	159
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.002933	0.005108	0.000246	0.000245	0.000491	0.000612	81	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	79
eCos_language	FORCE	CUDD_REORDER_SIFT		0.003947	0.009776	0.000561	0.000561	0.001122	0.001661	224	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	175	239
eCos_net	FORCE	CUDD_REORDER_SIFT		0.005051	0.008792	0.000354	0.000354	0.000708	0.001142	205	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	103	152
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.003347	0.004916	0.000246	0.000246	0.000492	0.000553	71	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	63	68
eCos_services	FORCE	CUDD_REORDER_SIFT		0.002532	0.005476	0.000313	0.000312	0.000625	0.000802	121	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	92	117
